Hora,RPM,Velocidad,Gear
10:41:40,4235.928712,87.85074193,3
10:41:40,4243.678081,88.03906262,3
10:41:40,4250.834433,88.2272722,3
10:41:40,4258.436094,88.41495151,3
10:41:40,4265.645168,88.60243958,3
10:41:40,4273.132116,88.78946598,3
10:41:40,4280.3653,88.97624593,3
10:41:40,4287.762784,89.16261103,3
10:41:40,4294.998855,89.34869328,3
10:41:41,4302.325234,89.53439148,3
10:41:41,4309.54925,89.71978387,3
10:41:41,4316.817254,89.90481185,3
10:41:41,4324.019218,90.08952027,3
10:41:41,4331.237301,90.27387642,3
10:41:41,4338.410853,90.45790525,3
10:41:41,4345.584413,90.64158924,3
10:41:41,4352.725718,90.82494185,3
10:41:41,4359.858089,91.00795414,3
10:41:41,4366.964972,91.19063324,3
10:41:42,4374.058166,91.37297484,3
10:41:42,4381.129488,91.55498271,3
10:41:42,4388.184713,91.73665497,3
10:41:42,4395.21995,91.91799364,3
10:41:42,4402.237941,92.09899807,3
10:41:42,4409.074096,92.27966944,3
10:41:42,4415.661182,92.45990063,3
10:41:42,4422.383978,92.63954477,3
10:41:42,4428.962461,92.81871158,3
10:41:43,4435.598701,92.99732476,3
10:41:43,4442.148741,93.17544148,3
10:41:43,4448.714443,93.35302411,3
10:41:43,4455.224825,93.53010164,3
10:41:43,4461.729189,93.7066567,3
10:41:43,4468.19399,93.88270384,3
10:41:43,4474.642155,94.05823586,3
10:41:43,4481.058511,94.2332602,3
10:41:43,4487.453323,94.40777453,3
10:41:43,4493.820047,94.58178295,3
10:41:44,4500.163129,94.75528537,3
10:41:44,4506.479902,94.9282844,3
10:41:44,4512.772254,95.1007809,3
10:41:44,4519.039183,95.27277683,3
10:41:44,4525.281502,95.44427346,3
10:41:44,4531.498894,95.61527248,3
10:41:44,4537.691735,95.78577532,3
10:41:44,4543.859981,95.95578353,3
10:41:44,4550.003838,96.12529861,3
10:41:45,4556.123361,96.29432208,3
10:41:45,4562.218696,96.46285542,3
10:41:45,4568.289934,96.63090015,3
10:41:45,4574.337195,96.79845774,3
10:41:45,4580.360583,96.96552968,3
10:41:45,4586.360212,97.13211746,3
10:41:45,4592.336186,97.29822255,3
10:41:45,4598.288615,97.46384642,3
10:41:45,4604.217606,97.62899054,3
10:41:45,4610.123265,97.79365637,3
10:41:46,4616.005699,97.95784537,3
10:41:46,4621.865014,98.12155898,3
10:41:46,4627.701314,98.28479866,3
10:41:46,4633.514704,98.44756584,3
10:41:46,4639.305288,98.60986196,3
10:41:46,4645.073169,98.77168846,3
10:41:46,4650.818451,98.93304676,3
10:41:46,4656.541235,99.09393829,3
10:41:46,4662.241624,99.25436446,3
10:41:47,4667.919719,99.41432669,3
10:41:47,4673.57562,99.57382638,3
10:41:47,4679.209428,99.73286494,3
10:41:47,4684.821244,99.89144377,3
10:41:47,4690.411165,100.0495643,3
10:41:47,4695.97929,100.2072278,3
10:41:47,4701.525719,100.3644358,4
10:41:47,3412.869678,100.9857036,4
10:41:47,3508.078401,101.0734803,4
10:41:47,3462.22471,101.2013283,4
10:41:48,3490.156899,101.3078105,4
10:41:48,3479.026696,101.4252266,4
10:41:48,3490.08274,101.5362389,4
10:41:48,3488.196638,101.6507806,4
10:41:48,3494.313468,101.7629701,4
10:41:48,3495.466204,101.8764486,4
10:41:48,3499.668392,101.9889659,4
10:41:48,3501.990404,102.1019062,4
10:41:48,3505.456059,102.2144202,4
10:41:49,3508.217929,102.3270269,4
10:41:49,3511.401011,102.4394103,4
10:41:49,3514.322793,102.5517619,4
10:41:49,3517.395921,102.6639659,4
10:41:49,3520.371821,102.7760921,4
10:41:49,3523.399714,102.8880985,4
10:41:49,3526.390352,103.0000103,4
10:41:49,3529.396934,103.1118123,4
